SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
789,Stellar,XLM,10/2/2016 23:59,0.00299511,0.00273466,0.00278159,0.00286667,105129,17464926.43
790,Stellar,XLM,10/3/2016 23:59,0.00287271,0.00270767,0.0028716,0.00270962,83759.60156,16508113.58
791,Stellar,XLM,10/4/2016 23:59,0.00275789,0.00256677,0.00270478,0.00259041,100249,15781837.49
792,Stellar,XLM,10/5/2016 23:59,0.00260417,0.00242025,0.00259018,0.00248526,119902,15141220.67
793,Stellar,XLM,10/6/2016 23:59,0.00253024,0.00228249,0.00249669,0.00230616,108291,14050070.2
794,Stellar,XLM,10/7/2016 23:59,0.00243841,0.00227014,0.00230551,0.00237417,72282.5,15646620.74
795,Stellar,XLM,10/8/2016 23:59,0.00238815,0.00228305,0.00238618,0.00231711,36448.60156,15270575.14
796,Stellar,XLM,10/9/2016 23:59,0.00243212,0.00223956,0.00231661,0.00237575,167282,15657033.5
797,Stellar,XLM,10/10/2016 23:59,0.0025592,0.00229787,0.00238019,0.00246604,119501,16895713
798,Stellar,XLM,10/11/2016 23:59,0.00309408,0.00236121,0.00246658,0.00267917,429422,18355942.08
799,Stellar,XLM,10/12/2016 23:59,0.00274242,0.00262785,0.00267819,0.00263736,76408.20313,18069486.97
800,Stellar,XLM,10/13/2016 23:59,0.00266204,0.00248206,0.00263737,0.00253877,52851.30078,17394011.98
801,Stellar,XLM,10/14/2016 23:59,0.00253678,0.00237715,0.00253588,0.00247861,100389,16981834.52
802,Stellar,XLM,10/15/2016 23:59,0.00250873,0.002412,0.0024788,0.00243903,14235.40039,16710657.93
803,Stellar,XLM,10/16/2016 23:59,0.00249602,0.00239975,0.00243655,0.00241846,57966.19922,16569725.58
804,Stellar,XLM,10/17/2016 23:59,0.00243366,0.00227004,0.00241912,0.00229053,58354.69922,15693231.86
805,Stellar,XLM,10/18/2016 23:59,0.00241866,0.00228432,0.00229044,0.0023876,31260.80078,16358292.79
806,Stellar,XLM,10/19/2016 23:59,0.00241123,0.0022568,0.00238772,0.00233937,61623.5,16027851.99
807,Stellar,XLM,10/20/2016 23:59,0.00270816,0.002336,0.002336,0.00266957,245923,18290169.08
808,Stellar,XLM,10/21/2016 23:59,0.00270304,0.00239905,0.00266783,0.00247562,184807,16961348.97
809,Stellar,XLM,10/22/2016 23:59,0.00252112,0.00235307,0.00247017,0.00240724,80103.39844,16492853.39
810,Stellar,XLM,10/23/2016 23:59,0.00246419,0.00237607,0.00240892,0.00243834,23756.30078,16705930.5
811,Stellar,XLM,10/24/2016 23:59,0.00250372,0.00241628,0.00243887,0.00247138,48913.19922,16932299.23
812,Stellar,XLM,10/25/2016 23:59,0.0024785,0.0023339,0.00247078,0.00235675,68368.20313,16146928.52
813,Stellar,XLM,10/26/2016 23:59,0.00237981,0.00227291,0.00235775,0.00233796,53831.80078,16018191.58
814,Stellar,XLM,10/27/2016 23:59,0.00236367,0.00209706,0.00233748,0.00217639,159436,14911218.32
815,Stellar,XLM,10/28/2016 23:59,0.00222152,0.00205847,0.00214525,0.00209463,64020.10156,14351051.61
816,Stellar,XLM,10/29/2016 23:59,0.00213725,0.00188167,0.00209472,0.00195708,201667,13408647.87
817,Stellar,XLM,10/30/2016 23:59,0.00213993,0.00193218,0.00196441,0.00212745,80875.10156,14575913.05
818,Stellar,XLM,10/31/2016 23:59,0.00216707,0.00198576,0.00211886,0.00208816,88239.20313,14306723.35
819,Stellar,XLM,11/1/2016 23:59,0.00208841,0.00192885,0.00208841,0.00197643,39127.69922,13541221.57
820,Stellar,XLM,11/2/2016 23:59,0.00206858,0.00195187,0.00197695,0.00202319,43063.69922,13861590.89
821,Stellar,XLM,11/3/2016 23:59,0.00207223,0.0019633,0.00201381,0.00199447,54323.80078,13664820
822,Stellar,XLM,11/4/2016 23:59,0.00202675,0.00195901,0.00199095,0.00199908,18106.80078,13696404.74
823,Stellar,XLM,11/5/2016 23:59,0.0020317,0.00198037,0.00200321,0.00202095,11173.90039,13846243.85
824,Stellar,XLM,11/6/2016 23:59,0.00205764,0.00186654,0.00202088,0.00195932,58461.19922,13423994.91
